1;EXPORT 24JAN24;;MISSING MIGRANTS  - Tracking Deaths Along Migratory Routes;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;;IOM - International Organization for Migration;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;;;www.missingmigrants.iom.int;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;;Missing Migrants Project is a joint initiative of IOM's Global Migration Data Analysis Centre (GMDAC) and Media and Communications Division (MCD). ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;UNITED case ID nr.;Incident ID;Main ID;Web ID    (old);Region of Incident;Website Date;Number Dead;Minimum Estimated Number of Missing;Total Dead and Missing;Number of Survivors;Number of Females;Number of Males;Number of Children;Region of Origin;Country of Origin;Cause of Death;Article title;Location of Death;Information Source;LAT;LONG;URL;Migration Route;Source Quality;Incident Type;UNSD Geographical Grouping;Reported Date;Reported Year;Reported Month;IOM Coordinates Getallen omdraaien, onderste eerst in FM  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
234;;2023.MMP1336;2023.MMP1336;;Mediterranean;28/12/23;11;24;35;30;;;;Unknown;Unknown;Drowning;;Off the coast of Zuwara, Libya;IOM Libya;LAT  32.94668237;LONG  12.092045;;Central Mediterranean;4;Incident;Uncategorized;;2023;December;32.94668237, 12.092045;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
574;;2023.MMP1340;2023.MMP1340;;Northern Africa;28/12/23;1;13;14;44;8;;1;Mixed;Mixed/Unknown;Drowning;Catorce muertos y 44 supervivientes tras esperar siete horas por ayuda;Around 42km from the coast of Boujdour, Western Sahara;EFE, El dia, Caminando Fronteras;LAT  26.16317455;LONG  -14.935918;https://archive.ph/f0Ljt;Western Africa / Atlantic route to the Canary Islands;4;Incident;Northern Africa;;2023;December;26.16317455, -14.935918;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1086;;2023.MMP1334;2023.MMP1334;;Mediterranean;28/12/23;2;4;6;1;;;;Southern Asia;Pakistan;Drowning;;Near Sirt Oil company area, Brega, Libya;IOM Libya;LAT  30.41501078;LONG  19.616116;;Central Mediterranean;4;Incident;Uncategorized;;2023;December;30.41501078, 19.616116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3040;;2023.MMP1342;2023.MMP1342;;Mediterranean;27/12/23;1;;1;47;;1;;Northern Africa;Egypt;Violence;Due sbarchi a Lampedusa, c'è anche un morto ;At the time of boarding in Zuwara, Libya;Lasicilia.web, Sky tg24;LAT  32.937813;LONG  -12.089057;https://www.lasiciliaweb.it/2023/12/due-sbarchi-a-lampedusa-ce-anche-un-morto/;Central Mediterranean;5;Incident;Uncategorized;;2023;December;32.937813, -12.089057;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
353;;2023.MMP13331427,2023.MMP13331428,2023.MMP13331429;2023.MMP1333;;Mediterranean;26/12/23;;24;24;7;7;8;3;Eastern Africa;Eritrea,Mali,Niger;Drowning;;Off Al Zawiyah, Libya - embarkatiom from AlZawiyah on 26 Dec 0400hrs;IOM Libya;LAT  33.29199062;LONG  12.734599;;Central Mediterranean;4;Split Incident;Uncategorized;;2023;December;33.29199062, 12.734599;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
705;;2023.MMP1330;2023.MMP1330;;Mediterranean;23/12/23;3;8;11;3;1;2;;Northern Africa;Algeria;Drowning;;Hojret Naji, El Marsa, West Ténès, Chlef Province, Algeria;Echorouk online, Sawte Chlef, CIPIMD;LAT  36.43376663;LONG  0.925203;https://archive.vn/b4mEK;Western Mediterranean;4;Incident;Uncategorized;;2023;December;36.43376663, 0.925203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3041;;2023.MMP1332;2023.MMP1332;;Mediterranean;22/12/23;1;;1;;;1;;Unknown;Unknown;Drowning;;Remains washed ashore near Mitiga airport, Tripoli, Libya;LRC via IOM Libya;LAT  32.90827346;LONG  13.252103;;Central Mediterranean;4;Incident;Uncategorized;;2023;December;32.90827346, 13.252103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2079;;2023.MMP1328;2023.MMP1328;;Northern Africa;20/12/23;2;;2;50;;1;1;Western Africa;Mali;Harsh environmental conditions / lack of adequate shelter, food, water;Un niño de 10 años y un joven de 18 murieron de frío en el cayuco rescatado en Gran Canaria;17 KM off Maspalomas, Gran Canaria, Canary Islands, Spain - presumed departure from Mauritania;EFE, EL PAÍS;LAT  27.59821381;LONG  -15.61466;https://archive.vn/Ly2ST;Western Africa / Atlantic route to the Canary Islands;3;Incident;Uncategorized;;2023;December;27.59821381, -15.61466;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3042;;2023.MMP1378;2023.MMP1378;;Europe;20/12/23;;1;1;;1;;;Eastern Asia;China;Vehicle accident / death linked to hazardous transport;;Unspecified locaiton in Obrežje, Brežice, Slovenia;IOM Slovenia;LAT  45.850061;LONG  15.687647;;;4;Incident;Southern Europe;;2023;December;45.850061, 15.687647;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3043;;2023.MMP1331;2023.MMP1331;;Mediterranean;18/12/23;1;;1;;;1;;Unknown;Unknown;Drowning;;Remains washed ashore at Misrata, Libya;LRC via IOM Libya;LAT  32.40194303;LONG  15.11338;;Central Mediterranean;4;Incident;Uncategorized;;2023;December;32.40194303, 15.11338;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
