data;url;url2;lieu;text;source
15/01/16;http://www.ekathimerini.com/205103/article/ekathimerini/news/baby-found-dead-on-greece-migrant-boat;http://www.ekathimerini.com/205103/article/ekathimerini/news/baby-found-dead-on-greece-migrant-boat;Grecia;Sbarca a Farmakonissi un'imbarcazione con 63 passeggeri. A bordo il corpo senza vita di un bambino neonato;Ekathimerini
14/01/16;http://www.ekathimerini.com/205063/article/ekathimerini/news/nine-bodies-of-refugees-migrants-found-off-turkish-coast-officials-say;http://www.ekathimerini.com/205063/article/ekathimerini/news/nine-bodies-of-refugees-migrants-found-off-turkish-coast-officials-say;Turchia;Naufragio al largo di Ayvalik. Tratti in salvo 13 passeggeri, recuperati i corpi senza vita di una bimba e 2 donne annegate. Risultano dispersi altri 2 uomini e un bambino;Ekathimerini
14/01/16;http://www.ekathimerini.com/205063/article/ekathimerini/news/nine-bodies-of-refugees-migrants-found-off-turkish-coast-officials-say;http://www.ekathimerini.com/205063/article/ekathimerini/news/nine-bodies-of-refugees-migrants-found-off-turkish-coast-officials-say;Turchia;Ritrovati sulle spiagge di Seferihisar, Izmir, i corpi senza vita di 5 uomini e una donna annegati sulla rotta del contrabbando verso la Grecia. Secondo i medici sarebbero morti da una decina di giorni;Ekathimerini
08/01/16;http://medios.mugak.eu/noticias/noticia/435993?criterio_id=6292;http://medios.mugak.eu/noticias/noticia/435993?criterio_id=6292;Spagna;Un pescatore ritrova nelle acque del porto dell'enclave di Melilla il corpo senza vita di un ragazzino. Si tratta con tutta probabilità di un minorenne marocchino che risultava disperso dalla notte di Capodanno, quando si era tuffato in mare per nascondersi sul traghetto diretto in Spagna;El Dia
05/01/16;http://www.ekathimerini.com/204802/article/ekathimerini/news/turkish-authorities-find-bodies-of-34-migrants-search-for-survivors;http://www.ekathimerini.com/204802/article/ekathimerini/news/turkish-authorities-find-bodies-of-34-migrants-search-for-survivors;Turchia;Naufragio sulla rotta per Lesvos. Il mare restituisce i corpi senza vita di 34 persone, tra cui 3 bambini, ripescati tra le località di Ayvalik e Dikili. Continuano le ricerche di eventuali dispersi;Ekathimerini
05/01/16;http://www.larazon.es/espana/al-menos-3-subsaharianos-muertos-en-asalto-de-la-pasada-noche-a-valla-ceuti-HH11614366;http://www.larazon.es/espana/al-menos-3-subsaharianos-muertos-en-asalto-de-la-pasada-noche-a-valla-ceuti-HH11614366;Marocco;Assalto all'enclave spagnola di Ceuta. 200 persone si tuffano in mare sulle spiagge di Belyounes tentando di aggirare a nuoto il muro della frontiera, ma 3 di loro muoiono annegati;La Razon
31/12/15;http://www.repubblica.it/esteri/2015/12/31/news/migranti_oim_nel_2015_3_771_morti_nel_mediterraneo_997mila_arrivi_-130423259;http://www.repubblica.it/esteri/2015/12/31/news/migranti_oim_nel_2015_3_771_morti_nel_mediterraneo_997mila_arrivi_-130423259;Italia;Secondo l'Organizzazione Internazionale per le Migrazioni (OIM) nel corso del 2015 sono morte 3.771 persone lungo le rotte del contrabbando nel Mediterraneo. Secondo lo stesso rapporto, nel 2014 i morti erano stati 3.279;Repubblica
29/12/15;http://www.hcg.gr/node/11751;http://www.hcg.gr/node/11751;Grecia;Ritrovato sull'isola di Samos, in località Cedar, il corpo di una donna annegata;Greek Coast Guard
29/12/15;http://www.hcg.gr/node/11750%20and%20http://www.hcg.gr/node/11751;http://www.hcg.gr/node/11750%20and%20http://www.hcg.gr/node/11751;Grecia;Ritrovati sull'isola di Fournous i resti in avanzato stato di decomposizione di 4 naufraghi, tra cui una bambina e due donne, nelle località di Saita, Koutsouti e Svistokamino;Greek Coast Guard
29/12/15;http://www.hcg.gr/node/11750%20and%20http://www.hcg.gr/node/11751;http://www.hcg.gr/node/11750%20and%20http://www.hcg.gr/node/11751;Grecia;Ritrovato sull'isola di Samos, in località Kokkari, il corpo di un uomo annegato;Greek Coast Guard
25/12/15;http://www.hcg.gr/node/11734;http://www.hcg.gr/node/11734;Grecia;Ripescato nelle acque del porto di Karlovasi, a Samos, il cadavere di un uomo annegato;Greek Coast Guard
25/12/15;http://www.hcg.gr/node/11734;http://www.hcg.gr/node/11734;Grecia;Ripescato a ovest di Samos il cadavere di una donna annegata sulla rotta del contrabbando;Greek Coast Guard
24/12/15;http://www.hcg.gr/node/11723;http://www.hcg.gr/node/11723;Grecia;Ritrovato sull'isola di Fournous il cadavere in avanzato stato di decomposizione di una donna annegata, in località Skoinouriotis;Greek Coast Guard
24/12/15;http://www.hcg.gr/node/11731;http://www.hcg.gr/node/11731;Grecia;Ritrovati sull'isola di Fournous i corpi di 2 donne annegate, nelle località di Vagia e Skylomantra;Greek Coast Guard
24/12/15;http://www.elmundo.es/sociedad/2015/12/25/567d325946163f575d8b45f2.html;http://www.elmundo.es/sociedad/2015/12/25/567d325946163f575d8b45f2.html;Marocco;Circa duecento persone si tuffano in mare per aggirare a nuoto il muro difensivo dell'enclave spagnola di Ceuta, ma 2 di loro annegano;El Mundo
24/12/15;http://www.repubblica.it/cronaca/2015/12/24/news/migranti_egeo_naufragio_bambini-130096461/;http://www.repubblica.it/cronaca/2015/12/24/news/migranti_egeo_naufragio_bambini-130096461/;Turchia;Un'imbarcazione di legno diretta all'isola greca di Lesbo si è capovolta a causa del mare agitato due miglia al largo della costa turca di Bademler, nella provincia di Izmir: 20 i corpi portati a riva dalla corrente, compresi quelli di 11 bambini e di una donna incinta. Non ci sono dispersi.;Repubblica
24/12/15;http://www.repubblica.it/cronaca/2015/12/24/news/migranti_egeo_naufragio_bambini-130096461/;http://www.repubblica.it/cronaca/2015/12/24/news/migranti_egeo_naufragio_bambini-130096461/;Italia;Il pattugliatore d'altura della Marina Militare italiana “Cigala Fulgosi” ha sbarcato nel porto d'Augusta (SR) 500 naufraghi soccorsi nel Canale di Sicilia e la salma di un uomo deceduto durante la traversata;Repubblica
